# 実質原系列・1995暦年基準・単位兆円,,,,,,,
# PDは公的需要（CG+IG+JG),,,,,,,
GDP,CP,IH,IP,JP,PD,EX,IM
75.1,41.19,4.44,10.57,-0.54,17.95,5.69,4.21
74.1,41.39,4.98,9.66,0.98,15.39,6.12,4.43
78.48,43.26,5.16,10.37,0.22,17.43,6.18,4.14
85.45,46.7,4.45,10.85,0.72,20.38,6.64,4.3
77.14,41.62,4.16,10.84,-0.29,18.8,6.19,4.19
76.48,42.03,4.78,9.88,1.02,16.18,6.88,4.28
81.29,43.9,5.16,10.77,0.06,18.47,7.22,4.29
87.41,47.48,4.43,11.09,0.83,20.89,7.23,4.54
78.89,43.08,4.04,10.86,-0.37,19.13,6.61,4.46
79.15,44.06,4.58,10.19,1.16,16.69,6.87,4.4
83.34,45.62,5.02,11.07,0.17,18.76,7.02,4.32
89.86,49.91,4.67,10.92,0.53,21.09,7.02,4.28
80.31,44.57,4.34,10.6,-0.83,19.24,6.45,4.05
80.09,45.15,4.29,9.84,0.85,17.19,6.92,4.15
85.06,47.38,4.59,10.87,-0.14,19.26,7.29,4.18
91.12,50.72,4.23,10.82,0.68,21.51,7.71,4.54
82.13,45.5,3.93,11.23,-0.77,19.49,7.24,4.49
82.57,46.29,4.24,10.26,0.77,17.64,7.95,4.58
88.18,48.76,4.57,11.92,0.02,19.52,8.18,4.8
94.2,51.8,4.18,12.3,0.59,21.46,8.66,4.8
86.72,47.09,3.98,13.44,-0.31,19.35,7.92,4.75
86.49,48.13,4.46,11.72,1.04,17.2,8.76,4.81
91.95,50.28,4.72,13.96,0.01,19.16,8.52,4.71
99.55,54.5,4.32,14.06,0.9,21.64,8.75,4.61
89.67,49.07,4.14,14.21,-0.53,19.72,7.51,4.47
88.93,49.57,4.54,13.02,0.82,17.65,8.14,4.81
94.94,52.35,5.07,14.64,-0.12,19.9,7.97,4.88
101.97,55.67,4.99,14.63,0.88,22.6,8.23,5.02
92.23,50.71,4.73,14.59,-1.04,20.7,7.45,4.91
91.5,51.5,5.28,13.19,0.72,18.36,7.82,5.36
98.62,54.41,6.1,15.42,-0.27,20.59,8.05,5.69
107.4,58.57,6.36,15.51,1.01,23.48,8.29,5.83
99.44,53.36,6.19,16.9,-0.63,21.92,7.66,5.96
97.91,54.47,6.15,15.18,1.28,19.15,8.03,6.35
105.5,57,6.5,18.26,0.53,21.3,8.73,6.82
113.27,60.82,6.53,18.39,1.62,23.74,8.87,6.7
106.7,56.74,6.11,21.11,-0.68,22.03,8.61,7.22
102.37,56.03,6,17.49,1.62,19.61,8.96,7.33
109.89,59.44,6.49,20.09,0.45,21.76,9.39,7.74
119.17,64.33,6.4,20.85,1.64,24.41,9.44,7.9
110.18,58.33,6.07,22.34,-0.76,22.81,9.35,7.95
109.44,60.03,6.23,19.86,1.29,20.54,9.53,8.06
117.28,63.08,7.09,22.63,0.42,22.44,9.79,8.16
124.02,65.94,6.85,22.75,1.32,25.37,10.17,8.38
117.17,60.43,6.29,25.25,-0.54,23.7,9.81,7.76
112.99,61.85,6.15,20.74,1.39,21.05,9.68,7.88
