# 実質GDPと内需、外需(2000年基準）単位兆円・暦年データ,,
# 1980年から2004年,,
GDP,DD,FD
313.1 ,305.6 ,7.6 
322.3 ,312.1 ,10.2 
331.2 ,321.2 ,10.1 
336.6 ,325.1 ,11.4 
347.1 ,333.7 ,13.4 
364.7 ,349.7 ,15.1 
375.5 ,362.8 ,12.7 
389.8 ,379.9 ,9.8 
416.1 ,408.7 ,7.5 
438.1 ,431.9 ,6.2 
460.9 ,454.6 ,6.3 
476.4 ,468.1 ,8.3 
481.0 ,471.0 ,10.1 
482.2 ,471.7 ,10.5 
487.5 ,478.0 ,9.5 
497.0 ,490.0 ,7.0 
514.1 ,509.2 ,4.9 
523.9 ,514.0 ,9.9 
518.2 ,506.7 ,11.5 
518.6 ,507.7 ,10.9 
533.5 ,519.9 ,13.6 
535.9 ,526.1 ,9.9 
533.2 ,519.8 ,13.5 
546.6 ,529.2 ,17.4 
567.1 ,544.7 ,22.5 
