# 鉱工業・生産・出荷・在庫（期末）指数・季節調整済・四半期（200012年平均＝100.0）,,
# PROD=生産指数、SHIP=出荷指数、STOCK=在庫指数、1998年Q1から2007年Q3,,
PROD,SHIP,STOCK
97.6,95.6,114.5
94.3,93.8,110.7
93,92.7,108.5
92.5,92.1,105.8
93.8,93.2,103.1
93.8,93.5,101
95.1,95.2,99.9
96.6,96.9,98.7
97.2,96.9,100.2
99.7,100.1,99.9
100.4,100.7,99.1
101.8,101.3,101
98.5,98.4,102.5
95.1,95.5,104.6
90.9,91.8,102.7
88.5,89.3,100.4
89.2,90.5,96.2
91.8,93.7,92.7
93.4,94.6,92.5
93.8,95.3,92.3
94,95.8,90.9
93.6,95.9,90.5
94.5,96.7,90.9
98.2,100.6,89.8
98.9,100.7,89.9
100.8,103.3,90
100.7,103,91.5
99.8,102.1,89.5
101.2,102.3,92
101.1,103.5,92.3
100.6,104.1,94.1
103.4,106.5,94.3
103.8,107.2,94.7
105.2,108.7,93.9
106.6,109.9,94.6
108.9,111.6,98.2
107.5,111,96.2
107.7,111.8,95.9
110.1,114.1,97.1
