# 財別生産指数・季節調整済・四半期・2000年平均＝100.0　199年Q1から2007年Q3,,,
# CAPL=資本財、CONST=建設財、COND=耐久消費財、CONNON=非耐久消費財,,,
CAPTL,CONST,COND,CONNON
107,106.5,94.9,100
99.2,103.2,93.4,98
95.9,101.9,94.3,99.5
91.2,100.2,96.1,99.1
91.1,101.2,96.1,99.9
91.6,99.7,95,100.6
94.5,100.3,95.7,99.7
93.1,99.4,96.9,101
96.1,98.9,97.5,97.7
98.4,99.8,100.5,100.1
100.4,100.5,100.4,100.4
104.5,99.7,101.3,100.9
100.9,97.2,97.8,100
96.1,94.8,98,100.6
88.7,91.8,96.6,98.4
84.5,90.2,90.7,97.4
83.2,89.4,91.6,97
82.8,87.3,92.9,97.6
86.4,87.2,94.9,97.2
84.1,87.1,97.8,96.2
83.7,86.2,94.9,97.4
82.6,84.6,95,95.7
85.8,85.6,96,95.2
91.8,84.8,99.4,96
94.1,83.3,96.9,96.2
100.7,83.7,99.1,94.6
101.5,83.7,98.6,96
103.8,82.7,96,95.6
104.7,81.8,99.6,96.3
105.5,82.8,100.6,93.1
101.7,81,99.5,92.9
106.6,80.6,102.7,92.9
104,79.1,106.7,92.6
109,80.4,107.4,93.4
108.8,79.7,107.7,92.7
112,80.6,113.7,92.5
110.1,79.5,110.2,92
110.6,79.6,112,90.1
112.4,76.3,114.3,91.2
