# IIP,,
# 1998Q1-2007Q3,,
PRODUCT,SHIPMENT,STOCK
98.1,97.5 ,109.3
92.2,89.9 ,112.3
93.2,93.4 ,105.1
93.9,93.4 ,104.2
94.1,94.8 ,98.4
91.3,89.4 ,102.5
95.2,95.8 ,96.8
97.7,97.9 ,97
99.1,100.1 ,95.6
97.6,96.2 ,101.4
100.4,101.3 ,96
102.8,102.4 ,99
98.9,100.1 ,97.8
93.1,91.8 ,106.2
90.9,92.4 ,99.5
89.8,90.6 ,98.3
89.2,91.7 ,91.8
89.9,90.1 ,94.2
93.9,95.5 ,89.6
95.2,96.7 ,90.4
94.1,96.9 ,86.5
91.9,92.8 ,91.6
94.8,97.4 ,88.2
99.1,101.4 ,88.2
100.6,103.7 ,85.4
98.5,99.4 ,90.9
100.9,103.5 ,88.9
100.9,103.0 ,87.9
101.8,104.1 ,87.5
98.8,99.6 ,93
100.7,104.4 ,91.7
103.9,107.3 ,92.6
104.9,109.0 ,90.1
103.4,105.4 ,94.5
106.3,110.2 ,92.3
110.1,113.0 ,96.5
108.1,112.2 ,91.6
105.9,108.4 ,96.5
109.2,113.8 ,94.7
