# òJì≠óÕí≤ç∏,
# èóÇÃåŸópé“î‰ó¶,
year,rate_employee
1953,29.48
1954,30.18
1955,31.24
1956,33.57
1957,35.3
1958,37.67
1959,39.13
1960,40.84
1961,42.88
1962,45.12
1963,46.43
1964,47.25
1965,48.62
1966,50.42
1967,51.15
1968,52.12
1969,52.77
1970,54.72
1971,56.31
1972,57.23
1973,58.68
1974,59.4
1975,59.75
1976,60.88
1977,61.53
1978,61.45
1979,61.88
1980,63.21
1981,64.34
1982,64.45
1983,65.67
1984,66.52
1985,67.19
1986,68.07
1987,68.43
1988,69.35
1989,70.7
1990,72.32
1991,74
1992,75.37
1993,76.97
1994,77.81
1995,78.35
1996,79.33
1997,79.81
1998,79.97
1999,80.4
2000,81.4
2001,82.46
2002,83.31
2003,83.83
2004,84.21
2005,84.66
2006,85.86
