# 遅行系列,,,,,
# 2000年1月から2007年10月（LG6は逆サイクル）,,,,,
LG1,LG2,LG3,LG4      ,LG5,LG6
98.1 ,-3.0 ,NA,-4.1 ,"9,563",4.70 
95.9 ,-3.1 ,NA,2.9 ,"10,333",4.86 
99.3 ,-3.1 ,"109,687",-1.9 ,"11,140",4.85 
98.6 ,-3.0 ,NA,2.7 ,"10,254",4.79 
98.4 ,-2.8 ,NA,-2.1 ,"10,242",4.63 
98.9 ,-2.8 ,"107,385",-3.5 ,"10,131",4.68 
99.5 ,-2.7 ,NA,-4.3 ,"9,882",4.67 
100.7 ,-2.6 ,NA,-3.8 ,"10,213",4.63 
101.3 ,-2.5 ,"108,375",-0.1 ,"10,077",4.69 
102.2 ,-2.4 ,NA,-1.3 ,"10,148",4.67 
102.0 ,-2.3 ,NA,-3.0 ,"10,057",4.74 
102.1 ,-2.2 ,"114,778",0.5 ,"10,026",4.79 
102.0 ,-2.1 ,NA,0.0 ,"9,883",4.80 
103.1 ,-2.1 ,NA,0.8 ,"10,192",4.71 
102.8 ,-2.2 ,"116,746",0.5 ,"9,679",4.75 
105.2 ,-2.6 ,NA,-5.0 ,"9,414",4.83 
103.7 ,-2.7 ,NA,-3.2 ,"11,014",4.94 
102.7 ,-3.0 ,"112,627",-4.0 ,"10,260",4.95 
102.5 ,-3.0 ,NA,-1.5 ,"10,087",5.02 
103.0 ,-3.1 ,NA,-1.7 ,"10,076",5.05 
102.9 ,-3.2 ,"113,742",-2.3 ,"9,594",5.27 
102.9 ,-3.5 ,NA,0.7 ,"9,661",5.26 
104.1 ,-3.7 ,NA,2.3 ,"9,945",5.38 
104.0 ,-4.2 ,"106,128",-5.9 ,"9,334",5.43 
103.6 ,-4.6 ,NA,-1.5 ,"9,437",5.23 
103.3 ,-4.7 ,NA,-4.7 ,"9,312",5.31 
104.1 ,-5.0 ,"105,940",-2.7 ,"8,837",5.31 
103.6 ,-5.5 ,NA,-0.4 ,"9,312",5.28 
103.8 ,-5.6 ,NA,-1.5 ,"8,250",5.41 
103.8 ,-5.5 ,"103,456",2.6 ,"8,967",5.48 
104.2 ,-5.4 ,NA,0.5 ,"8,835",5.38 
103.9 ,-5.2 ,NA,-1.3 ,"9,039",5.49 
103.3 ,-5.0 ,"102,933",3.2 ,"8,701",5.42 
102.7 ,-4.8 ,NA,-1.7 ,"8,716",5.39 
102.6 ,-4.7 ,NA,-3.7 ,"8,861",5.24 
103.3 ,-4.2 ,"108,314",-3.8 ,"8,887",5.40 
104.0 ,-4.0 ,NA,-2.5 ,"8,440",5.44 
104.2 ,-3.9 ,NA,-1.9 ,"8,696",5.25 
106.6 ,-3.5 ,"107,475",-2.5 ,"9,311",5.44 
106.6 ,-3.5 ,NA,-1.0 ,"8,880",5.47 
105.7 ,-3.2 ,NA,-2.1 ,"8,801",5.44 
105.9 ,-2.9 ,"111,898",-0.1 ,"8,743",5.38 
105.5 ,-2.6 ,NA,-6.3 ,"8,956",5.21 
106.2 ,-2.7 ,NA,1.8 ,"8,598",5.09 
106.1 ,-2.7 ,"107,331",-2.1 ,"9,244",5.17 
107.1 ,-2.6 ,NA,-1.2 ,"9,302",5.09 
107.1 ,-2.6 ,NA,-0.2 ,"8,848",5.11 
106.6 ,-2.3 ,"118,723",0.7 ,"9,148",4.91 
108.6 ,-2.1 ,NA,3.1 ,"10,324",4.90 
103.7 ,-1.8 ,NA,6.9 ,"8,983",4.95 
105.2 ,-1.6 ,"120,457",-0.6 ,"9,342",4.75 
110.7 ,-1.1 ,NA,6.6 ,"9,536",4.79 
111.1 ,-1.1 ,NA,5.1 ,"9,574",4.67 
110.2 ,-1.0 ,"123,938",-1.3 ,"9,497",4.71 
110.9 ,-1.0 ,NA,2.7 ,"9,629",4.88 
111.3 ,-0.9 ,NA,-0.4 ,"9,582",4.79 
111.7 ,-0.8 ,"126,111",0.4 ,"9,734",4.62 
112.5 ,-0.8 ,NA,0.7 ,"10,028",4.58 
114.8 ,-0.5 ,NA,0.2 ,"10,014",4.50 
115.6 ,-0.5 ,"124,797",-3.5 ,"10,931",4.46 
116.9 ,-0.2 ,NA,2.6 ,"9,466",4.46 
116.7 ,-0.5 ,NA,-4.1 ,"10,910",4.60 
116.8 ,-0.5 ,"130,335",1.6 ,"10,519",4.50 
120.3 ,0.2 ,NA,-3.0 ,"10,362",4.47 
117.7 ,0.5 ,NA,-1.8 ,"10,691",4.50 
118.2 ,0.2 ,"132,358",-0.5 ,"10,926",4.28 
116.8 ,0.2 ,NA,-3.6 ,"10,312",4.44 
119.4 ,0.2 ,NA,-1.7 ,"11,187",4.33 
119.4 ,0.1 ,"136,797",-0.9 ,"11,001",4.22 
119.2 ,0.3 ,NA,0.4 ,"10,779",4.41 
119.7 ,0.2 ,NA,-0.1 ,"11,319",4.52 
119.9 ,0.3 ,"139,495",2.8 ,"10,794",4.38 
120.6 ,0.3 ,NA,-4.2 ,"11,337",4.38 
120.6 ,0.5 ,NA,-0.8 ,"12,121",4.11 
