# ˆê’vŒn—ñ,,,,,,,,,,
# 2000”N1ŒŽ‚©‚ç2007”N10ŒŽ,,,,,,,,,,
C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
96.9,95.7,21665,98.7,84,95.8,-1.7,-4.6,NA,98.3,0.51
96.6,96.2,21863,99,84.4,95.8,0.1,-1.8,NA,99.6,0.52
98.2,97.6,22022,99.6,86.5,97.5,-3.3,-5.9,101274,99,0.54
99.5,100.1,21988,100.5,86.9,98.4,-3.3,-5.6,NA,100.3,0.56
99.1,99.7,22045,99.3,86.3,96.9,-2.3,-1.4,NA,99.4,0.56
100.6,100.8,22150,100.5,88.2,100.5,-0.9,-1.5,105069,101,0.58
100.1,100.8,22301,100.5,88,99.3,-0.4,-5.2,NA,99.5,0.6
101.6,101.9,22374,101.1,89,103.8,-0.9,-1,NA,102,0.61
99.4,99.9,22398,98.9,90.2,100.3,-1.2,-5.6,108455,99.9,0.62
101.1,101.2,22306,100.2,91.2,102.3,-2.1,-0.9,NA,100.3,0.64
101.5,101.3,22322,99.8,91.2,102,-0.8,-1.6,NA,99.8,0.65
102.7,101.6,22392,100,90.4,104.1,-0.8,1,115278,100.4,0.65
98.3,97.7,22378,96.4,88.5,100.8,1.4,-0.1,NA,96.7,0.65
99.4,98.3,22216,97.7,88.8,102.1,-0.5,-3.7,NA,97.1,0.64
97.7,96.1,22049,96.7,86.1,98.4,1.7,-4.3,99257,96.9,0.63
96.8,94.2,21853,95.6,84,98.1,-1.2,-3.2,NA,95.3,0.62
94.8,92.1,21727,94.1,82.2,95.5,-1.3,-3.2,NA,93.9,0.61
93.7,91.3,21710,93,80.8,94.7,-2.1,-4.2,99872,92.5,0.61
92.2,90.1,21938,92.1,80,91.3,-2.6,-4.9,NA,91.2,0.6
91.2,89.1,21337,90.9,79.2,88.4,-3.4,-6.9,NA,90.6,0.58
89.3,88.1,21159,88.9,77.7,86.9,-2.1,-8.9,80303,89.1,0.57
89.2,87.1,21209,88.6,76.4,85.7,-4.3,-6.9,NA,88,0.54
87.7,86.4,21072,87.7,75.5,85.5,-2.4,-8.2,NA,87,0.52
88.6,87.5,21101,87.7,75,86.3,-5.2,-9,78566,87.2,0.51
88,87.9,20918,88,75.9,84.6,-4.2,-8.8,NA,86.7,0.5
89.4,90.2,21115,91,77.1,84.2,-5.9,-9.1,NA,86.7,0.51
90.1,91.7,21095,90.6,79.3,84.9,-4.9,-10.2,83222,87.9,0.52
89.6,93.5,21302,90.9,83.2,80.8,-4.1,-4.8,NA,87.9,0.52
93.4,97.2,21520,94.7,84.9,86.7,-2.8,-4.9,NA,90.6,0.53
92.4,95.1,21499,93.8,85.4,83,-3.1,-7.3,87720,89,0.53
93,95.6,21873,94.3,86.3,82.6,-5.1,-3.8,NA,88.9,0.54
93.3,96.8,21910,95.3,87.3,85.5,-1.6,-5.3,NA,89.1,0.55
94,97.6,21742,96.2,87.9,86.1,-2.3,-4.2,89784,89.5,0.55
94.1,97.9,21770,95.6,87.9,84.7,-2.1,-2.5,NA,89.5,0.56
93.7,97.6,21832,95.6,89.3,84.4,-1.2,-1.2,NA,89.5,0.56
93.6,96.8,21926,95.7,90,83,-2.2,-2.6,89575,88.2,0.57
