# 先行系列,,,,,,,,,,,
# 2000年1月から2007年10月（L1、L2は逆サイクル）,,,,,,,,,,,
L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12
102.2 ,101.7 ,"535,617","837,128","10,805",-0.1 ,NA,3.5 ,1.58 ,53.3 ,1.93 ,16.7 
97.6 ,97.8 ,"528,372","809,223","9,893",8.3 ,NA,4.8 ,1.71 ,55.4 ,1.91 ,12.6 
100.9 ,99.4 ,"538,001","796,938","9,932",3.4 ,40.8 ,3.9 ,1.63 ,38.1 ,2.10 ,16.1 
101.7 ,99.6 ,"555,144","790,999","9,957",10.1 ,NA,3.6 ,1.64 ,25.0 ,2.23 ,11.2 
100.3 ,99.1 ,"564,639","820,472","9,726",6.8 ,NA,3.1 ,1.55 ,20.0 ,2.44 ,12.3 
99.2 ,98.3 ,"585,988","887,724","10,081",10.6 ,41.6 ,2.2 ,1.53 ,13.7 ,2.45 ,7.5 
102.2 ,100.7 ,"605,865","841,925","9,678",6.3 ,NA,3.5 ,1.46 ,5.4 ,2.63 ,14.2 
98.5 ,97.4 ,"610,257","1,022,952","9,763",9.9 ,NA,3.8 ,1.49 ,1.9 ,2.49 ,13.8 
98.8 ,99.9 ,"615,264","879,404","9,896",3.6 ,42.4 ,5.1 ,1.30 ,-0.8 ,2.63 ,16.0 
100.7 ,101.9 ,"624,621","972,332","9,661",5.7 ,NA,4.0 ,1.28 ,-5.0 ,2.69 ,16.1 
99.7 ,102.0 ,"637,409","915,594","9,866",2.6 ,NA,4.4 ,1.03 ,-13.6 ,2.94 ,12.0 
98.7 ,102.5 ,"634,688","908,025","10,796",5.3 ,41.9 ,3.4 ,1.06 ,-18.4 ,2.97 ,8.4 
101.3 ,107.2 ,"615,461","896,487","9,307",2.2 ,NA,1.1 ,0.99 ,-22.5 ,2.93 ,6.3 
100.1 ,109.0 ,"618,640","897,975","9,119",-0.2 ,NA,0.2 ,0.93 ,-26.5 ,2.95 ,3.6 
100.9 ,110.4 ,"604,612","897,510","9,501",2.4 ,37.6 ,2.5 ,1.16 ,-25.3 ,2.79 ,-7.3 
102.8 ,117.5 ,"611,569","912,375","8,994",-2.8 ,NA,2.5 ,1.20 ,-21.1 ,2.49 ,-9.2 
104.0 ,115.6 ,"604,371","892,229","9,148",-1.1 ,NA,1.2 ,1.16 ,-13.7 ,2.28 ,-8.4 
